IUPAC Name,SMILE,solvent,type,SRP
"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,H2O,neutral,-0.292
"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,H2O,neutral,-0.305
2-(3-hydroxy-5-sulfonato-1H-indol-2-yl)-3-oxoindole-5-sulfonate,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O,H2O,neutral,-0.247
"[(4S,6S,7R,8S)-11-amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate",CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,H2O,neutral,-0.271
,C1(C=C(C(C(=C1)C)=O)Br)=C2C=C(C(C(=C2)Br)=O)Br,H2O,neutral,0.26
"2,6-dichloro-4-(3,5-dichloro-4-oxocyclohexa-2,5-dien-1-ylidene)cyclohexa-2,5-dien-1-one",C1=C(C(=O)C(=CC1=C2C=C(C(=O)C(=C2)Cl)Cl)Cl)Cl,H2O,neutral,0.26
"4,5-dioxo-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylic acid",C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O,H2O,neutral,-0.114
,C1=CC=C(C4=C1C2=NN(C3=CC=C(C(C23)C4=O)NCCNCCO)CCNCCO)O,H2O,neutral,-0.538
"4-(acridin-9-ylamino)-3-methoxycyclohexa-2,5-dien-1-one",COC1=CC(=O)C=CC1NC2=C3C=CC=CC3=NC4=CC=CC=C42,H2O,neutral,0.085
,C1=CC=CC2=C1C(=C3C(=N2)C=CC=C3)N(C4C=CC(C=C4N(C)C)=O)[H],H2O,neutral,-0.01
"1,2-dinitrobenzene",C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.287
"1,3-dinitrobenzene",C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.345
"1,4-dinitrobenzene",C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.257
"2,4-dinitrobenzoic acid",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,H2O,neutral,-0.345
"2,5-dinitrobenzoic acid",C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-],H2O,neutral,-0.272
"3,4-dinitrobenzoic acid",C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.271
"3,5-dinitrobenzoic acid",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,H2O,neutral,-0.344
"2,4-dinitrophenol",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,H2O,neutral,-0.5
1-(3-nitrophenyl)ethanone,CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],H2O,neutral,-0.437
1-(4-nitrophenyl)ethanone,CC(=O)C1=CC=C(C=C1)[N+](=O)[O-],H2O,neutral,-0.358
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],H2O,neutral,-0.486
2-nitrobenzaldehyde,C1=CC=C(C(=C1)C=O)[N+](=O)[O-],H2O,neutral,-0.355
4-nitrobenzaldehyde,C1=CC(=CC=C1C=O)[N+](=O)[O-],H2O,neutral,-0.322
2-nitrobenzoic acid,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],H2O,neutral,-0.412
3-nitrobenzoic acid,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,H2O,neutral,-0.433
4-nitrobenzoic acid,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],H2O,neutral,-0.396
2-nitrobenzonitrile,C1=CC=C(C(=C1)C#N)[N+](=O)[O-],H2O,neutral,-0.308
(4-nitrophenyl)methanol,C1=CC(=CC=C1CO)[N+](=O)[O-],H2O,neutral,-0.477
4-nitro-(3'-dimethylamino)-propiophenone,C1=CC(=CC=C1C(CCN(C)C)=O)[N+](=O)[O-],H2O,neutral,-0.315
"5-(aziridin-1-yl)-2,4-dinitrobenzamide",C1CN1C2=C(C=C(C(=C2)C(=O)N)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.385
"5-(aziridin-1-yl)-N-methyl-2,4-dinitrobenzamide",CNC(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,H2O,neutral,-0.387
"5-(aziridin-1-yl)-N,N-dimethyl-2,4-dinitrobenzamide",CN(C)C(=O)C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N2CC2,H2O,neutral,-0.377
,C1(=C(C=C(C(=C1)[N+](=O)[O-])N2CC2)C(=O)NCC(OC)OC)[N+](=O)[O-],H2O,neutral,-0.384
"5-amino-2,4-dinitrobenzamide",C1=C(C(=CC(=C1N)[N+](=O)[O-])[N+](=O)[O-])C(=O)N,H2O,neutral,-0.46
,C1(=C(C=C(C(=C1)[N+](=O)[O-])N(C)C)C(=O)N([H])[H])[N+](=O)[O-],H2O,neutral,-0.464
2-amino-5-(aziridin-1-yl)-4-nitrobenzamide,C1CN1C2=C(C=C(C(=C2)C(=O)N)N)[N+](=O)[O-],H2O,neutral,-0.515
5-nitrofuran-2-carboxylic acid,C1=C(OC(=C1)[N+](=O)[O-])C(=O)O,H2O,neutral,-0.317
(NZ)-N-[(5-nitrofuran-2-yl)methylidene]hydroxylamine,C1=C(OC(=C1)[N+](=O)[O-])/C=N\O,H2O,neutral,-0.253
2-(methoxymethyl)-5-nitrofuran,COCC1=CC=C(O1)[N+](=O)[O-],H2O,neutral,-0.338
[(E)-(5-nitrofuran-2-yl)methylideneamino]urea,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,H2O,neutral,-0.257
"1-[(E)-(5-nitrofuran-2-yl)methylideneamino]imidazolidine-2,4-dione",C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],H2O,neutral,-0.264
2-(4-methylpiperazin-1-yl)-N-[(E)-(5-nitrofuran-2-yl)methylideneamino]acetamide,CN1CCN(CC1)CC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],H2O,neutral,-0.214
2-[2-(5-nitrofuran-2-yl)ethenyl]quinoline,C1=CC=C2C(=C1)C=CC(=N2)C=CC3=CC=C(O3)[N+](=O)[O-],H2O,neutral,-0.276
"2-[4-(5-nitrofuran-2-yl)buta-1,3-dienyl]quinoline",C1=CC=C2C(=C1)C=CC(=N2)C=CC=CC3=CC=C(O3)[N+](=O)[O-],H2O,neutral,-0.265
N-butyl-5-nitrofuran-2-carboxamide,CCCCNC(=O)C1=CC=C(O1)[N+](=O)[O-],H2O,neutral,-0.23
2-nitro-1H-imidazole,C1=CN=C(N1)[N+](=O)[O-],H2O,neutral,-0.418
"2,4-dinitro-1H-pyrrole",C1=C(NC=C1[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.445
(2-nitro-1H-imidazol-5-yl)methanamine,C1=C(NC(=N1)[N+](=O)[O-])CN,H2O,neutral,-0.267
2-nitro-1H-imidazole-5-carbaldehyde,C1=C(NC(=N1)[N+](=O)[O-])C=O,H2O,neutral,-0.243
3-methyl-2-nitroimidazole-4-carboxylate,CN1C(=CN=C1[N+](=O)[O-])C(=O)[O-],H2O,neutral,-0.385
3-methyl-2-nitroimidazole-4-carboxamide,CN1C(=CN=C1[N+](=O)[O-])C(=O)N,H2O,neutral,-0.321
(3-methyl-2-nitroimidazol-4-yl)methanol,CN1C(=CN=C1[N+](=O)[O-])CO,H2O,neutral,-0.4
5-ethenyl-1-methyl-2-nitroimidazole,CN1C(=CN=C1[N+](=O)[O-])C=C,H2O,neutral,-0.392
methyl 3-methyl-2-nitroimidazole-4-carboxylate,CN1C(=CN=C1[N+](=O)[O-])C(=O)OC,H2O,neutral,-0.3
N-methyl-1-(3-methyl-2-nitroimidazol-4-yl)methanimine oxide,CN1C(=CN=C1[N+](=O)[O-])C=[N+](C)[O-],H2O,neutral,-0.282
"1-(3-methyl-2-nitroimidazol-4-yl)ethane-1,2-diol",CN1C(=CN=C1[N+](=O)[O-])C(CO)O,H2O,neutral,-0.396
1-methyl-2-nitro-5-propan-2-ylimidazole,CC(C)C1=CN=C(N1C)[N+](=O)[O-],H2O,neutral,-0.439
2-(3-methyl-2-nitroimidazol-4-yl)propan-2-ol,CC(C)(C1=CN=C(N1C)[N+](=O)[O-])O,H2O,neutral,-0.412
N-methyl-N-[(3-methyl-2-nitroimidazol-4-yl)methylideneamino]methanamine,CN1C(=CN=C1[N+](=O)[O-])C=NN(C)C,H2O,neutral,-0.386
,C1(=CN=C([N]1C)[N+](=O)[O-])C=C(C#N)C#N,H2O,neutral,-0.24
,C1(=CN=C([N]1C)[N+](=O)[O-])C(OC(C)=O)OC(C)=O,H2O,neutral,0.35
1-(3-methyl-2-nitroimidazol-4-yl)-N-morpholin-4-ylmethanimine,CN1C(=CN=C1[N+](=O)[O-])C=NN2CCOCC2,H2O,neutral,-0.366
,C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCNCC2)[H],H2O,neutral,-0.354
,C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCCCC2)[H],H2O,neutral,-0.376
2-(2-nitroimidazol-1-yl)acetic acid,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)O,H2O,neutral,-0.447
2-(2-nitroimidazol-1-yl)ethanol,C1=CN(C(=N1)[N+](=O)[O-])CCO,H2O,neutral,-0.398
"2-(2,4-dinitroimidazol-1-yl)ethanol",C1=C(N=C(N1CCO)[N+](=O)[O-])[N+](=O)[O-],H2O,neutral,-0.238
2-(5-methyl-2-nitroimidazol-1-yl)ethanol,CC1=CN=C(N1CCO)[N+](=O)[O-],H2O,neutral,-0.423
1-(2-nitroimidazol-1-yl)propan-2-one,CC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.358
methyl 2-(2-nitroimidazol-1-yl)acetate,COC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,0.355
1-chloro-3-(2-nitroimidazol-1-yl)propan-2-ol,C1=CN(C(=N1)[N+](=O)[O-])CC(CCl)O,H2O,neutral,-0.384
1-fluoro-3-(2-nitroimidazol-1-yl)propan-2-ol,C1=CN(C(=N1)[N+](=O)[O-])CC(CF)O,H2O,neutral,-0.383
1-(2-methoxyethyl)-2-nitroimidazole,COCCN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.393
"3-(2-nitroimidazol-1-yl)propane-1,2-diol",C1=CN(C(=N1)[N+](=O)[O-])CC(CO)O,H2O,neutral,-0.389
1-(2-methylsulfonylethyl)-2-nitroimidazole,CS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.368
,C1=CN=C([N]1CCOC(C)=O)[N+](=O)[O-],H2O,neutral,-0.42
2-(2-nitroimidazol-1-yl)-N-propylacetamide,CCCNC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.388
ethyl 2-(2-nitroimidazol-1-yl)acetate,CCOC(=O)CN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.388
1-(2-ethoxyethyl)-2-nitroimidazole,CCOCCN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.4
1-(2-nitroimidazol-1-yl)pentan-2-ol,CCCC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,-0.389
1-(2-ethylsulfonylethyl)-2-nitroimidazole,CCS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],H2O,neutral,-0.368
"N-(2,3-dihydroxypropyl)-2-(2-nitroimidazol-1-yl)acetamide",C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCC(CO)O,H2O,neutral,-0.392
1-(2-nitroimidazol-1-yl)-3-prop-2-enoxypropan-2-ol,C=CCOCC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,-0.391
"N,N-bis(2-hydroxyethyl)-2-(2-nitroimidazol-1-yl)acetamide",C1=CN(C(=N1)[N+](=O)[O-])CC(=O)N(CCO)CCO,H2O,neutral,-0.398
2-nitro-1-(2-phenoxyethyl)imidazole,C1=CC=C(C=C1)OCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.391
1-[2-(benzenesulfonyl)ethyl]-2-nitroimidazole,C1=CC=C(C=C1)S(=O)(=O)CCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.367
N-benzyl-2-(2-nitroimidazol-1-yl)acetamide,C1=CC=C(C=C1)CNC(=O)CN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.38
2-nitro-1-(3-phenoxypropyl)imidazole,C1=CC=C(C=C1)OCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.409
,C1=CN=C([N]1CC(COC(CCl)COC(C)C)O)[N+](=O)[O-],H2O,neutral,-0.395
4-[2-(5-nitroimidazol-1-yl)ethyl]morpholine,C1COCCN1CCN2C=NC=C2[N+](=O)[O-],H2O,neutral,-0.39
,C1=CN=C([N]1CC[N+]2(CCOCC2)C)[N+](=O)O[H],H2O,neutral,-0.318
,C1=CN=C([N]1CCCN2CCOCC2)[N+](=O)[O-],H2O,neutral,-0.386
4-[4-(2-nitroimidazol-1-yl)butyl]morpholine,C1COCCN1CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.396
,C1=CN=C([N]1CCCC[N+]2(CCOCC2)C)[N+](=O)O[H],H2O,neutral,-0.379
4-[5-(2-nitroimidazol-1-yl)pentyl]morpholine,C1COCCN1CCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.399
4-[6-(2-nitroimidazol-1-yl)hexyl]morpholine,C1COCCN1CCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.379
4-[8-(2-nitroimidazol-1-yl)octyl]morpholine,C1COCCN1CCCCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.388
4-[11-(2-nitroimidazol-1-yl)undecyl]morpholine,C1COCCN1CCCCCCCCCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.403
,C1=CN=C([N+](=O)[O-])[N]1CCN2CCCC2,H2O,neutral,-0.334
2-nitro-1-(4-pyrrolidin-1-ylbutyl)imidazole,C1CCN(C1)CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.389
1-[2-(2-nitroimidazol-1-yl)ethyl]piperidine,C1CCN(CC1)CCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.325
,C1=CN=C([N]1CCCN2CCCCC2)[N+](=O)[O-],H2O,neutral,-0.353
1-[4-(2-nitroimidazol-1-yl)butyl]piperidine,C1CCN(CC1)CCCCN2C=CN=C2[N+](=O)[O-],H2O,neutral,-0.386
,O=[N](=O)C1=NC=C[N]1CCNC2CCNCC2,H2O,neutral,-0.399
,O=[N](=O)C1=NC=C[N]1CCNC2=NC=CC=C2,H2O,neutral,-0.395
,O=[N](=O)C1=NC=C[N]1CCNC2=CC=CC=C2,H2O,neutral,-0.398
,CC(C)N(CC[N]1C=CN=C1([N+]([O-])=O)C(C)C,H2O,neutral,-0.272
1-(aziridin-1-yl)-3-(2-nitroimidazol-1-yl)propan-2-ol,O=[N](=O)C1=NC=C[N]1CC(O)CN2CC2,H2O,neutral,-0.398
1-(dimethylamino)-3-(2-nitroimidazol-1-yl)propan-2-ol,CN(C)CC(CN1C=CN=C1[N+](=O)[O-])O,H2O,neutral,-0.351
1-[bis(2-hydroxyethyl)amino]-3-(2-nitroimidazol-1-yl)propan-2-ol,C1=CN(C(=N1)[N+](=O)[O-])CC(CN(CCO)CCO)O,H2O,neutral,-0.369
,CC(C)(C)CN(CC(O)C[N]1C=CN=C1([N+]([O-])=O)C(C)(C)C,H2O,neutral,-0.348
1-(benzylamino)-3-(2-nitroimidazol-1-yl)propan-2-ol,C1=CC=C(C=C1)CNCC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,-0.353
1-(4-methoxyanilino)-3-(2-nitroimidazol-1-yl)propan-2-ol  ,COC1=CC=C(C=C1)NCC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,-0.391
,COC1=CC=C(C=C1)CNCC(O)C[N]2C=CN=C2[N](=O)=O,H2O,neutral,-0.35
"1-[(1-hydroxy-2,2,6,6-tetramethylpiperidin-4-yl)amino]-3-(2-nitroimidazol-1-yl)propan-2-ol",CC1(CC(CC(N1O)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,H2O,neutral,-0.355
"1-(2-nitroimidazol-1-yl)-3-[(2,2,6,6-tetramethylpiperidin-4-yl)amino]propan-2-ol",CC1(CC(CC(N1)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,H2O,neutral,-0.361
1-(2-nitroimidazol-1-yl)-3-piperidin-1-ylpropan-2-ol,C1CCN(CC1)CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,-0.346
1-[2-hydroxy-3-(2-nitroimidazol-1-yl)propyl]piperidin-3-ol,C1CC(CN(C1)CC(CN2C=CN=C2[N+](=O)[O-])O)O,H2O,neutral,-0.357
1-morpholin-4-yl-3-(2-nitroimidazol-1-yl)propan-2-ol,C1COCCN1CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,-0.38
1-(4-methylpiperazin-1-yl)-3-(2-nitroimidazol-1-yl)propan-2-ol,CN1CCN(CC1)CC(CN2C=CN=C2[N+](=O)[O-])O,H2O,neutral,-0.37
4-iodo-5-nitro-1H-imidazole,C1=NC(=C(N1)[N+](=O)[O-])I,H2O,neutral,-0.503
"1,2-dimethyl-4-nitroimidazole",CC1=NC(=CN1C)[N+](=O)[O-],H2O,neutral,-0.542
5-bromo-1-methyl-4-nitroimidazole,CN1C=NC(=C1Br)[N+](=O)[O-],H2O,neutral,-0.523
5-iodo-1-methyl-4-nitroimidazole,CN1C=NC(=C1I)[N+](=O)[O-],H2O,neutral,-0.529
3-methyl-5-nitroimidazole-4-thiol,CN1C=NC(=C1S)[N+](=O)[O-],H2O,neutral,-0.538
3-methyl-5-nitroimidazole-4-sulfonamide,CN1C=NC(=C1S(=O)(=O)N)[N+](=O)[O-],H2O,neutral,-0.395
1-methyl-5-methylsulfonyl-4-nitroimidazole,CN1C=NC(=C1S(=O)(=O)C)[N+](=O)[O-],H2O,neutral,-0.355
2-(3-methyl-5-nitroimidazol-4-yl)sulfanylacetic acid,CN1C=NC(=C1SCC(=O)O)[N+](=O)[O-],H2O,neutral,-0.545
"N,N,3-trimethyl-5-nitroimidazole-4-sulfonamide",CN1C=NC(=C1S(=O)(=O)N(C)C)[N+](=O)[O-],H2O,neutral,-0.409
N-(3-methyl-5-nitroimidazol-4-yl)sulfonylacetamide,CC(=O)NS(=O)(=O)C1=C(N=CN1C)[N+](=O)[O-],H2O,neutral,-0.523
,CN(C)CN[S](=O)(=O)C1=C([N+]([O-])=O)N=C[N]1C,H2O,neutral,-0.402
4-(3-methyl-5-nitroimidazol-4-yl)sulfonylmorpholine,CN1C=NC(=C1S(=O)(=O)N2CCOCC2)[N+](=O)[O-],H2O,neutral,-0.406
3-methyl-N-(morpholin-4-ylmethyl)-5-nitroimidazole-4-sulfonamide,CN1C=NC(=C1S(=O)(=O)NCN2CCOCC2)[N+](=O)[O-],H2O,neutral,-0.394
1-methyl-4-nitro-5-phenoxyimidazole,CN1C=NC(=C1OC2=CC=CC=C2)[N+](=O)[O-],H2O,neutral,-0.56
4-(3-methyl-5-nitroimidazol-4-yl)oxyphenol,CN1C=NC(=C1OC2=CC=C(C=C2)O)[N+](=O)[O-],H2O,neutral,-0.565
