Name,No.,SMILE,"half-wave potential(E(1/2)/mV), SCE electrode","half-wave potential (V, SHE)",solvent
FcCH(OH)CH2NH2,8,NCC(O)C1=CC=C[C-]1[Fe+2][C-]2C=CC=C2,240,0.484,PBS buffer
FcCH:CHCH(OH)CH2NH2,9,NCC(O)/C=C/C1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,200,0.444,PBS buffer
Fc(CH2)2CH(OH)CH2NH2,11,NCC(O)CCC1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,125,0.369,PBS buffer
FcCH2CH(NH2)CH2OH,14,OCC(N)CC1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,205,0.449,PBS buffer
FcCH2CH(CH2NH2)CH2OH,15,NC(CO)CC1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,210,0.454,PBS buffer
FcCH2NH(CH2)2OH,50,OCCNCC1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,305,0.549,PBS buffer
"1,1'-Me2FcCHOCONHCH2",24,CC1=C[C-]([Fe+2][C-]2C(C3CN([H])C(O3)=O)=CC(C)=C2)C=C1,145,0.389,PBS buffer
FcCH(OH)(CH2)2NH2,12,NCCC(O)C1=C[C-]([Fe+2][C-]2C=CC=C2)C=C1,200,0.444,PBS buffer
"1,1'-Me2 FcCH(OH)CH2NHAc",25,CC1=C[C-](C=C1)[Fe+2][C-]2C(C(CN([H])C(C)=O)O)=CC(C)=C2,90,0.334,PBS buffer
FcB(OH)3,51,OB(C1=CC=C[C-]1[Fe+2][C-]2C=CC=C2)(O)O,110,0.354,PBS buffer
FcC6H4OPO3Na2,52,O=P([O-])([O-])OC1=CC(C2=C[C-]([Fe+2][C-]3C=CC=C3)C=C2)=CC=C1,180,0.424,PBS buffer
3번째 논문,,,"half-wave potential(E(1/2)/mV), Fe3+/Fe2+ 전극","half-wave potential (V, SHE)",solvent
Fc,,C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,0.403,1.153,MeCN
"Me2Fc (1,1'-Dimethylferrocene)",,CC1=CC=C[C-]1[Fe+2][C-]1C(C)=CC(=C1),0.307,1.057,MeCN
"tBu4Fc (1,1',3,3'-Tetrakis(tert-butyl)ferrocene)",,CC(C)(C)C1=C[C-](C(C(C)(C)C)=C1)[Fe+2][C-]2C=C(C(C)(C)C)C=C2C(C)(C)C,0.17,0.92,MeCN
Me8Fc (Octamethylferrocene),,CC1=C(C)[C-]([Fe+2][C-]2C(C)=C(C(C)=C2C)C)C(C)=C1C,0.003,0.753,MeCN
Me10Fc (Decamethylferrocene),,CC1=C([C-](C(C)=C1C)(C)[Fe+2][C-]2(C)C(C)=C(C)C(C)=C2C)C,-0.096,0.654,MeCN
